price,title_length,word_count,category,views,add_to_cart,purchases,stock_quantity,competitor_price,month,optimal_price,conversion_rate,stock_percentage,price_ratio
237.68,72,9,sports,7652,235,30,102,200.69543163930558,11,255.68534131733395,0.003920543648719289,0.51,1.184282063914459
99.95,93,15,toys,2315,131,38,14,109.73574086423439,5,103.30214374514183,0.016414686825053995,0.07,0.9108244881096547
34.99,111,17,toys,5562,327,28,165,35.998872267762344,1,38.38894988442123,0.005034160373966199,0.825,0.971974892428344
28.91,60,9,toys,4937,380,8,68,31.043137845715513,4,27.99690429748974,0.0016204172574437918,0.34,0.9312847220433316
17.49,32,5,toys,4055,295,85,30,15.782638658857552,5,17.50495386501379,0.02096177558569667,0.15,1.1081797143080532
18.66,144,25,Other,6635,256,60,24,19.008648729620923,11,18.53284471038852,0.00904295403165034,0.12,0.9816584158832065
29.12,55,7,clothing,8615,839,63,162,23.909003715758363,1,25.716877560297036,0.007312826465467209,0.81,1.217951209769861
97.68,89,13,toys,7327,659,103,45,77.92405420336361,5,89.60383104380097,0.014057595195850963,0.225,1.253528207670997
12.99,58,9,home,1520,76,3,138,13.985799488752507,6,12.601119466799927,0.001973684210526316,0.69,0.9287992445799514
38.49,60,10,Other,1201,115,13,34,32.68893040842307,4,38.06787065452509,0.010824313072439634,0.17,1.177462814448103
18.16,90,14,toys,1464,121,14,106,23.010389208299117,11,18.846858435842584,0.009562841530054645,0.53,0.7892087280927115
84.61,51,9,toys,2563,200,58,191,60.87040718001608,1,76.93292005331074,0.02262973078423722,0.955,1.3900022017230351
33.92,64,10,baby,8081,585,111,160,41.282885904300024,6,37.933156094714064,0.01373592377181042,0.8,0.8216479845578551
14.99,144,22,toys,4407,238,40,27,15.910728449957015,11,16.31577575957958,0.009076469253460404,0.135,0.9421315967491418
4.99,51,8,toys,3233,234,54,25,4.346727759925446,1,4.633498678113892,0.016702752861119705,0.125,1.1479899997430683
34.39,46,7,toys,5666,384,26,38,30.11138115623005,6,31.73588647255425,0.004588775150017649,0.19,1.1420930784134657
12.88,54,9,toys,4222,353,38,151,15.377275040601871,5,12.775784281337915,0.009000473709142587,0.755,0.8375996375165228
117.26,101,16,home,8448,662,24,155,122.89841527919413,1,115.37545041055782,0.002840909090909091,0.775,0.9541213345478453
9.39,26,3,toys,2421,114,24,33,9.573715964705011,5,9.267166204071522,0.009913258983890954,0.165,0.9808103806941518
17.85,55,9,toys,1271,87,15,48,20.084660586947773,4,15.985959529661947,0.011801730920535013,0.24,0.8887379461916329
